14.5,Cement=165,Slag=150,Fly=0,Water=182,SP=12,Coarse=1023,Fine=729
19,Cement=158,Slag=0,Fly=246,Water=174,SP=7,Coarse=1035,Fine=706
21,Cement=156,Slag=0,Fly=243,Water=180,SP=11,Coarse=1022,Fine=698
2.5,Cement=145,Slag=177,Fly=227,Water=209,SP=11,Coarse=752,Fine=715
23,Cement=154,Slag=141,Fly=181,Water=234,SP=11,Coarse=797,Fine=683
13,Cement=160,Slag=146,Fly=188,Water=203,SP=11,Coarse=829,Fine=710
24,Cement=291,Slag=105,Fly=0,Water=205,SP=6,Coarse=859,Fine=797
3,Cement=298,Slag=107,Fly=0,Water=186,SP=6,Coarse=879,Fine=815
17.5,Cement=318,Slag=126,Fly=0,Water=210,SP=6,Coarse=861,Fine=737
25.5,Cement=280,Slag=92,Fly=118,Water=207,SP=9,Coarse=883,Fine=679
25,Cement=287,Slag=94,Fly=121,Water=188,SP=9,Coarse=904,Fine=696
0,Cement=332,Slag=0,Fly=170,Water=160,SP=6,Coarse=900,Fine=806
21.5,Cement=326,Slag=0,Fly=167,Water=174,SP=6,Coarse=884,Fine=792
23.5,Cement=320,Slag=0,Fly=163,Water=188,SP=9,Coarse=866,Fine=776
21,Cement=342,Slag=136,Fly=0,Water=225,SP=11,Coarse=770,Fine=747
8,Cement=356,Slag=142,Fly=0,Water=193,SP=11,Coarse=801,Fine=778
24,Cement=309,Slag=0,Fly=142,Water=218,SP=10,Coarse=912,Fine=680
20.5,Cement=322,Slag=0,Fly=149,Water=186,SP=8,Coarse=951,Fine=709
23,Cement=159,Slag=193,Fly=0,Water=208,SP=12,Coarse=821,Fine=818
22,Cement=307,Slag=110,Fly=0,Water=189,SP=10,Coarse=904,Fine=765
22,Cement=313,Slag=124,Fly=0,Water=205,SP=11,Coarse=846,Fine=758
25,Cement=143,Slag=131,Fly=168,Water=217,SP=6,Coarse=891,Fine=672
24,Cement=140,Slag=128,Fly=164,Water=237,SP=6,Coarse=869,Fine=656
19,Cement=278,Slag=0,Fly=117,Water=205,SP=9,Coarse=875,Fine=799
22.5,Cement=288,Slag=0,Fly=121,Water=177,SP=7,Coarse=908,Fine=829
25,Cement=299,Slag=107,Fly=0,Water=210,SP=10,Coarse=881,Fine=745
23,Cement=291,Slag=104,Fly=0,Water=231,SP=9,Coarse=857,Fine=725
27,Cement=265,Slag=86,Fly=111,Water=195,SP=6,Coarse=833,Fine=790
21,Cement=159,Slag=0,Fly=248,Water=175,SP=12,Coarse=1041,Fine=683
18,Cement=160,Slag=0,Fly=250,Water=168,SP=12,Coarse=1049,Fine=688
21,Cement=166,Slag=0,Fly=260,Water=183,SP=13,Coarse=859,Fine=827
2,Cement=320,Slag=127,Fly=164,Water=211,SP=6,Coarse=721,Fine=723
26,Cement=336,Slag=134,Fly=0,Water=222,SP=6,Coarse=756,Fine=787
0,Cement=276,Slag=90,Fly=116,Water=180,SP=9,Coarse=870,Fine=768
23,Cement=313,Slag=112,Fly=0,Water=220,SP=10,Coarse=794,Fine=789
25.5,Cement=322,Slag=116,Fly=0,Water=196,SP=10,Coarse=818,Fine=813
24,Cement=294,Slag=106,Fly=136,Water=207,SP=6,Coarse=747,Fine=778
24,Cement=146,Slag=106,Fly=137,Water=209,SP=6,Coarse=875,Fine=765
23.5,Cement=149,Slag=109,Fly=139,Water=193,SP=6,Coarse=892,Fine=780
12,Cement=159,Slag=0,Fly=187,Water=176,SP=11,Coarse=990,Fine=789
23,Cement=261,Slag=78,Fly=100,Water=201,SP=9,Coarse=864,Fine=761
16.25,Cement=140,Slag=1.4,Fly=198.1,Water=174.9,SP=4.4,Coarse=1049.9,Fine=780.5
23.5,Cement=141.1,Slag=0.6,Fly=209.5,Water=188.8,SP=4.6,Coarse=996.1,Fine=789.2
24.5,Cement=140.1,Slag=4.2,Fly=215.9,Water=193.9,SP=4.7,Coarse=1049.5,Fine=710.1
21,Cement=140.1,Slag=11.8,Fly=226.1,Water=207.8,SP=4.9,Coarse=1020.9,Fine=683.8
24,Cement=160.2,Slag=0.3,Fly=240,Water=233.5,SP=9.2,Coarse=781,Fine=841.1
21.25,Cement=140.2,Slag=30.5,Fly=239,Water=169.4,SP=5.3,Coarse=1028.4,Fine=742.7
23.5,Cement=140.2,Slag=44.8,Fly=234.9,Water=171.3,SP=5.5,Coarse=1047.6,Fine=704
24.5,Cement=140.5,Slag=61.1,Fly=238.9,Water=182.5,SP=5.7,Coarse=1017.7,Fine=681.4
25,Cement=143.3,Slag=91.8,Fly=239.8,Water=200.8,SP=6.2,Coarse=964.8,Fine=647.1
26.5,Cement=194.3,Slag=0.3,Fly=240,Water=234.2,SP=8.9,Coarse=780.6,Fine=811.3
9.5,Cement=150.4,Slag=110.9,Fly=239.7,Water=168.1,SP=6.5,Coarse=1000.2,Fine=667.2
14.5,Cement=150.3,Slag=111.4,Fly=238.8,Water=167.3,SP=6.5,Coarse=999.5,Fine=670.5
14.5,Cement=155.4,Slag=122.1,Fly=240,Water=179.9,SP=6.7,Coarse=966.8,Fine=652.5
17,Cement=165.3,Slag=143.2,Fly=238.3,Water=200.4,SP=7.1,Coarse=883.2,Fine=652.6
25,Cement=303.8,Slag=0.2,Fly=239.8,Water=236.4,SP=8.3,Coarse=780.1,Fine=715.3
0,Cement=172,Slag=162.1,Fly=238.5,Water=166,SP=7.4,Coarse=953.3,Fine=641.4
0,Cement=172.8,Slag=158.3,Fly=239.5,Water=166.4,SP=7.4,Coarse=952.6,Fine=644.1
0,Cement=184.3,Slag=153.4,Fly=239.2,Water=179,SP=7.5,Coarse=920.2,Fine=640.9
27.5,Cement=215.6,Slag=112.9,Fly=239,Water=198.7,SP=7.4,Coarse=884,Fine=649.1
25,Cement=295.3,Slag=0,Fly=239.9,Water=236.2,SP=8.3,Coarse=780.3,Fine=722.9
0,Cement=248.3,Slag=101,Fly=239.1,Water=168.9,SP=7.7,Coarse=954.2,Fine=640.6
2,Cement=248,Slag=101,Fly=239.9,Water=169.1,SP=7.7,Coarse=949.9,Fine=644.1
0,Cement=258.8,Slag=88,Fly=239.6,Water=175.3,SP=7.6,Coarse=938.9,Fine=646
27.5,Cement=297.1,Slag=40.9,Fly=239.9,Water=194,SP=7.5,Coarse=908.9,Fine=651.8
29,Cement=348.7,Slag=0.1,Fly=223.1,Water=208.5,SP=9.6,Coarse=786.2,Fine=758.1
